freq,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,AT	: 	: 	: 	: 	: 	: 	6.8 	6.9 	7.9 	9.1 	9.9 	11.2 	11.9 	12 	11.8 	11.5 	11.4 	11.3 	12.4 	14.3 i
A,PC,BE	: 	: 	: 	: 	: 	: 	13.5 	14.4 	17.3 	17.3 	17.9 	18 	18 	19 	20.6 	20.5 	22.9 	21.4 	18.3 	19.7 e
A,PC,BG	: 	: 	: 	: 	: 	: 	2.1 	1.8 	1.8 	2.5 	2.7 	3.1 	4.3 	3.4 	2.4 	4 	5.8 	4.3 	3 	4.9 i
A,PC,CY	: 	: 	: 	: 	: 	: 	2 	1.9 	2 	2.4 	2.2 	2.4 	2.4 	2.4 	2.8 	3.2 	3.8 	5.9 	8.5 	5.4 i
A,PC,CZ	: 	: 	: 	: 	: 	: 	5.3 	5.4 	6.3 	6.7 	6.8 	6.9 	7.5 	9.1 	10.5 	10.6 	11.5 	11 	11.3 	12.8 i
A,PC,DE	: 	: 	: 	: 	: 	: 	11.2 	10.6 	11 	11.1 	11.2 	11.6 	11.8 	11.6 	12 	12.4 	12.8 	12.2 	12.5 	13.9 i
A,PC,DK	: 	: 	: 	: 	: 	: 	8 	7 	6.4 	7.7 	9 	8.3 	8 	7.9 	8.1 	7.6 	7.6 	8.6 	9.3 	9.1 i
A,PC,EE	: 	: 	: 	: 	: 	: 	9 	14.5 	19.2 	14.7 	11.3 	11.4 	11.9 	12.5 	13.8 	15.3 	16.4 	20 	21.4 	18.1 i
A,PC,EL	: 	: 	: 	: 	: 	: 	2.5 	2 	1.8 	1.7 	1.3 	1.8 	2.1 	2.5 	3 	3.3 	4.2 	5.3 b	6.3 	5.2 i
A,PC,ES	: 	: 	: 	: 	: 	: 	10.4 	9.9 	9.8 	8.9 	7.7 	7.6 	8.2 	8.8 	8.9 	9 	9.3 	8.8 	9.4 	8.5 i
A,PC,EU27_2020	8.2 	8.7 	9 	8.9 	9.1 	10.4 	10.7 	10.2 	11 	11.2 	11.1 	11.2 	11.4 	11.5 	11.6 	11.2 	11.2 	11.1 	11.5 	11.8 i
A,PC,FI	: 	: 	: 	: 	: 	: 	10.7 	11.4 	12.2 	7.9 	5.5 	4.9 	3.8 	4.4 	4.4 	4.5 	4.4 	5.1 	5.4 	2.4 i
A,PC,FR	: 	: 	: 	: 	: 	: 	17.5 	16.9 	16.8 	17.2 	17.8 	18.8 	19.3 	18.7 	19.5 	17.1 	16.2 	15.9 	17.5 	17.6 i
A,PC,HR	: 	: 	: 	: 	: 	: 	1.6 	2.4 	3.5 	3.9 	4.8 	4.6 	4.6 	5.1 	5 	5.4 	5.5 	6.1 	6.8 	6.2 i
A,PC,HU	: 	: 	: 	: 	: 	: 	5.2 	5.4 	6 	6.1 	5.3 	5.7 	6.3 	6.7 	6.9 	5.5 	5.1 	5 	4.9 	5.9 i
A,PC,IE	: 	: 	: 	: 	: 	: 	1.9 	2.2 	1.9 	1.9 	2.2 	2.1 	2 	1.9 	1.9 	1.8 	1.8 	2.1 	2.1 	2.3 i
A,PC,IT	: 	: 	: 	: 	: 	: 	11.6 	11.6 	13.9 	16 	16.1 	17.2 	17.8 	18.4 	18.8 	18.8 	20.6 	19.7 	20.6 	20.8 i
A,PC,LT	: 	: 	: 	: 	: 	: 	3.9 	3.6 	3.8 	3.1 	3.7 	4.1 	4.6 	4.4 	4.3 	3.9 	4 	4.1 	4 	3.9 i
A,PC,LU	: 	: 	: 	: 	: 	: 	23.4 	19.8 	17.7 	15.2 	11.1 	9.6 	7.1 	10.6 	10.8 	9.1 	9.4 	8.5 	12.3 	10.2 
A,PC,LV	: 	: 	: 	: 	: 	: 	1.2 	2.9 	1.3 	3.9 	5.3 	5.3 	6.6 	5.5 	4.7 	4.8 	5.2 	5 	4.5 	5 i
A,PC,MT	: 	: 	: 	: 	: 	: 	5.3 	4.5 	3.9 	6.3 	6.4 	4.6 	4.2 	6.5 	8.3 	12.8 	16.5 	19.2 	21.5 	19.8 i
A,PC,NL	: 	: 	: 	: 	: 	: 	25.5 	25 	26.3 	26.8 	26.5 	26.7 	29 	26.7 	25.8 	25.6 	27.1 	28.5 	27.2 	30.6 i
A,PC,PL	: 	: 	: 	: 	: 	: 	11.1 	9.4 	11 	12.2 	13 	11.9 	10.6 	10.4 	10.5 	9.2 	7.4 	7 	6.7 	7.5 i
A,PC,PT	: 	: 	: 	: 	: 	: 	1.8 	1.7 	2 	2.5 	2.4 	2.1 	2.1 	2 	2.2 	2.3 	2.5 	2.7 	3.3 	2.8 i
A,PC,RO	: 	: 	: 	: 	: 	: 	3.5 	2.5 	2.6 	2.5 	2.1 	1.7 	1.7 	1.8 	1.6 	1.4 	1.5 	1.5 	1.5 	1.3 i
A,PC,SE	: 	: 	: 	: 	: 	: 	7.2 	7.6 	8.2 	7.2 	6.4 	6.7 	6.9 	6.7 	6.6 	6.4 	6.9 	9.5 	12.1 	9.9 i
A,PC,SI	: 	: 	: 	: 	: 	: 	5.9 	7.6 	9.4 	9.3 	8.5 	8.7 	8.7 	9.8 	10.1 	10.2 	9.9 	8.9 	8.3 	8.8 i
A,PC,SK	: 	: 	: 	: 	: 	: 	5 	4.7 	4 	4.5 	4.8 	5 	5.2 	4.9 	4.7 	8.3 	10.3 	10.4 	11.5 	10.6 i
