name,value
Austria,0.14300000000000002
Belgium,0.19699999999999998
Bulgaria,0.049
Cyprus,0.054000000000000006
Czechia,0.128
Germany,0.139
Denmark,0.091
Estonia,0.18100000000000002
Greece,0.052000000000000005
Spain,0.085
EU,0.11800000000000001
Finland,0.024
France,0.17600000000000002
Croatia,0.062
Hungary,0.059000000000000004
Ireland,0.023
Italy,0.20800000000000002
Lithuania,0.039
Luxembourg,0.102
Latvia,0.05
Malta,0.198
Netherlands,0.306
Poland,0.075
Portugal,0.027999999999999997
Romania,0.013000000000000001
Sweden,0.099
Slovenia,0.08800000000000001
Slovak Republic,0.106
